name,party,location,grade_current
Aaron Schock,R,IL,11.5362423
Adam Kinzinger,R,IL,8.995621754
Adam Schiff,D,LA,13.0347375
Adam Smith,D,WA,10.23695519
Anna Eshoo,D,WA,10.65351543
Bill Cassidy,R,LA,9.285165569
Candice Miller,R,WA,11.70865922
Carolyn Maloney,D,NY,13.03522892
Dana Rohrabacher,R,NY,10.64634133
Duncan Hunter,R,IL,13.66509733
Erik Paulsen,R,LA,11.69134788
Frank Guinta,R,HI,10.94131093
Frank LoBiondo,R,HI,13.08452404
John Kerry,D,LA,11.01029616
Joseph Lieberman,I,NY,7.95536381
Michael Bennet,D,IL,7.98091322
Olympia Snowe,R,WA,13.80125838
Richard Shelby,R,HI,11.31326157
Yvette Clarke,D,NY,12.45211362
Zoe Lofgren,D,HI,12.76643582